Name,Operator,Type,Geared,NominalCapacity,ReeferPlugs,Dwt,Built,Flag,Speed
OOCLLONDON,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,700,99518,2010,"HONGKONGSAR,CHINA",25
OOCLSOUTHAMPTON,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,710,99677,2007,"HONGKONGSAR,CHINA",25
OOCLTAIPEI,ORIENTOVERSEASCONTAINERLINE.,CC,N,8825,700,101589,2015,"HONGKONGSAR,CHINA",26
OOCLTOKYO,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,710,99705,2007,"HONGKONGSAR,CHINA",25
OOCLUTAH,ORIENTOVERSEASCONTAINERLINE.,CC,N,8825,700,101589,2015,"HONGKONGSAR,CHINA",26
COSCOENGLAND,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156618,2013,"HONGKONGSAR,CHINA",24
COSCOFRANCE,COSCOSHIPPINGLINESCOLTD,CC,N,13386,1008,156605,2013,"HONGKONGSAR,CHINA",24
COSCOITALY,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156610,2014,"HONGKONGSAR,CHINA",24
COSCONETHERLANDS,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156618,2013,"HONGKONGSAR,CHINA",24
COSCOPORTUGAL,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156610,2014,"HONGKONGSAR,CHINA",24
COSCOSHIPPINGDENALI,COSCOSHIPPINGLINESCOLTD,CC,N,14566,1000,153949,2018,"HONGKONGSAR,CHINA",23
COSCOSPAIN,COSCOSHIPPINGLINESCOLTD,CC,N,13386,1008,156572,2013,"HONGKONGSAR,CHINA",24
CMACGMARCTIC,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMHOPE,CMA-CGM,CC,N,14806,1000,158800,2020,MALTA,21
CMACGMSYMI,CMA-CGM,CC,N,14812,1000,158800,2022,MALTA,21
CMACGMTENERE,CMA-CGM,CC,N,14812,1000,158800,2020,MALTA,21
CSCLAUTUMN,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLEASTCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121185,2014,"HONGKONGSAR,CHINA",24
CSCLSOUTHCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLSPRING,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121849,2014,"HONGKONGSAR,CHINA",24
CSCLSUMMER,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121805,2014,"HONGKONGSAR,CHINA",24
CSCLYELLOWSEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121193,2014,"HONGKONGSAR,CHINA",24
APLSANTIAGO,CMA-CGM,CC,N,9326,1014,115077,2014,SINGAPORE,21
APLVANCOUVER,CMA-CGM,CC,N,9326,1014,115059,2013,SINGAPORE,21
CMACGMGEMINI,CMA-CGM,CC,N,11388,800,131274,2011,MALTA,22
CMACGMLOIRE,CMA-CGM,CC,N,9365,1458,112729,2015,MALTA,22
CMACGMMEDEA,CMA-CGM,CC,N,9415,700,113964,2006,FRANCE,23
BALTICNORTH,CMA-CGM,CC,N,4228,408,52462,2009,MARSHALLISLANDS,19
CMACGMBLUEWHALE,CMA-CGM,CC,N,5095,330,65892,2007,MALTA,22
CMACGMGEORGIA,CMA-CGM,CC,N,5095,330,65901,2008,MALTA,22
CMACGMNEWJERSEY,CMA-CGM,CC,N,5095,330,65900,2008,MALTA,22
CMACGMSWORDFISH,CMA-CGM,CC,N,5095,330,65987,2007,MALTA,22
CMACGMVIRGINIA,CMA-CGM,CC,N,5095,330,65913,2008,MALTA,22
